year,round,driver,quali_gap
2015,16,max_verstappen,2.1939999999999884
2015,16,nasr,6.698999999999998
2015,16,perez,2.7150000000000034
2015,16,raikkonen,1.703000000000003
2015,16,ricciardo,0.0
2015,16,rosberg,0.1759999999999877
2015,16,rossi,7.680999999999997
2015,16,sainz,10.808999999999996
2015,16,stevens,8.030999999999992
2015,16,vettel,2.100999999999999
2015,17,alonso,2.2989999999999924
2015,17,bottas,0.9680000000000036
2015,17,ericsson,1.8190000000000024
2015,17,grosjean,1.5579999999999927
2015,17,hamilton,0.1880000000000024
2015,17,hulkenberg,1.3079999999999927
2015,17,kvyat,0.9179999999999922
2015,17,maldonado,1.7809999999999917
2015,17,massa,1.0870000000000033
2015,17,max_verstappen,1.230000000000004
2015,17,nasr,2.3079999999999927
2015,17,perez,1.188999999999993
2015,17,raikkonen,1.941999999999993
2015,17,ricciardo,0.9189999999999968
2015,17,rosberg,0.0
2015,17,rossi,4.655999999999992
2015,17,sainz,1.4620000000000033
2015,17,stevens,4.905999999999992
2015,17,vettel,0.3699999999999903
2015,18,bottas,0.8030000000000115
2015,18,button,2.1430000000000007
2015,18,ericsson,1.951000000000008
2015,18,grosjean,1.774000000000001
2015,18,hamilton,0.0780000000000029
2015,18,hulkenberg,0.983000000000004
2015,18,kvyat,1.0400000000000065
2015,18,maldonado,2.1030000000000086
2015,18,massa,1.1329999999999956
2015,18,max_verstappen,1.4300000000000068
2015,18,nasr,1.7070000000000078
2015,18,perez,1.858000000000004
2015,18,raikkonen,0.862000000000009
2015,18,ricciardo,1.1350000000000051
2015,18,rosberg,0.0
2015,18,rossi,4.869
2015,18,sainz,1.7630000000000052
2015,18,stevens,5.001000000000005
2015,18,vettel,0.5220000000000056
2015,19,alonso,2.950000000000003
2015,19,bottas,1.4190000000000111
2015,19,button,2.3329999999999984
2015,19,ericsson,3.600999999999999
2015,19,grosjean,2.348000000000013
2015,19,hamilton,0.3770000000000095
2015,19,hulkenberg,1.4490000000000125
2015,19,kvyat,1.695999999999998
2015,19,maldonado,2.5700000000000074
2015,19,massa,1.5220000000000056
2015,19,max_verstappen,2.284000000000006
2015,19,merhi,7.197000000000003
2015,19,nasr,2.659000000000006
2015,19,perez,0.9470000000000028
2015,19,raikkonen,0.8140000000000072
2015,19,ricciardo,1.2070000000000078
2015,19,rosberg,0.0
2015,19,sainz,2.2450000000000045
2015,19,stevens,6.060000000000002
2015,19,vettel,2.704000000000008
2016,1,alonso,2.2879999999999967
2016,1,bottas,2.1239999999999952
2016,1,button,2.4669999999999987
2016,1,ericsson,3.597999999999999
2016,1,grosjean,4.484999999999999
2016,1,gutierrez,5.768999999999991
2016,1,hamilton,0.0
2016,1,haryanto,5.789999999999992
2016,1,hulkenberg,2.027999999999992
2016,1,jolyon_palmer,3.4039999999999964
2016,1,kevin_magnussen,3.4599999999999937
2016,1,kvyat,4.168999999999997
2016,1,massa,1.6209999999999951
2016,1,max_verstappen,1.5969999999999942
2016,1,nasr,4.120999999999995
2016,1,perez,1.9159999999999968
2016,1,raikkonen,1.195999999999998
2016,1,ricciardo,1.7519999999999951
2016,1,rosberg,0.3599999999999994
2016,1,sainz,1.546999999999997
2016,1,vettel,0.8379999999999939
2016,1,wehrlein,5.804999999999993
2016,2,bottas,1.4380000000000024
2016,2,button,2.483000000000004
2016,2,ericsson,3.3470000000000084
2016,2,grosjean,2.263000000000005
2016,2,gutierrez,2.451999999999998
2016,2,hamilton,0.0
2016,2,haryanto,4.697000000000003
2016,2,hulkenberg,2.111000000000004
2016,2,jolyon_palmer,3.945000000000008
2016,2,kevin_magnussen,3.6880000000000015
2016,2,kvyat,2.7480000000000047
2016,2,massa,1.662000000000006
2016,2,max_verstappen,2.2789999999999964
2016,2,nasr,4.89500000000001
2016,2,perez,3.4180000000000064
2016,2,raikkonen,0.7510000000000048
2016,2,ricciardo,1.3610000000000042
2016,2,rosberg,0.0769999999999981
2016,2,sainz,2.223000000000013
2016,2,vandoorne,2.4410000000000025
2016,2,vettel,0.5190000000000055
2016,2,wehrlein,3.3130000000000024
2016,3,alonso,3.0489999999999924
2016,3,bottas,0.8939999999999912
2016,3,button,2.1910000000000025
2016,3,ericsson,2.918999999999997
2016,3,grosjean,3.022999999999996
2016,3,gutierrez,3.368000000000009
2016,3,haryanto,4.862000000000009
2016,3,hulkenberg,1.9309999999999976
2016,3,jolyon_palmer,4.125999999999991
2016,3,kevin_magnussen,3.271000000000001
2016,3,kvyat,0.997
2016,3,massa,1.9450000000000072
2016,3,max_verstappen,1.7920000000000016
2016,3,nasr,3.251999999999996
2016,3,perez,1.463000000000008
2016,3,raikkonen,0.5700000000000074
2016,3,ricciardo,0.5150000000000006
2016,3,rosberg,0.0
2016,3,sainz,1.4789999999999992
2016,3,vettel,0.7809999999999917
2016,4,alonso,2.469999999999999
2016,4,bottas,1.198999999999998
2016,4,button,2.36399999999999
2016,4,ericsson,4.182000000000002
2016,4,grosjean,2.7180000000000035
2016,4,gutierrez,2.778000000000006
2016,4,hamilton,0.4829999999999899
2016,4,haryanto,4.125999999999991
2016,4,hulkenberg,2.433999999999997
2016,4,jolyon_palmer,3.671999999999997
2016,4,kevin_magnussen,3.576999999999998
2016,4,kvyat,2.122
2016,4,massa,1.6789999999999878
2016,4,max_verstappen,2.172999999999988
2016,4,nasr,3.680999999999997
2016,4,perez,1.875
2016,4,raikkonen,1.3259999999999934
2016,4,ricciardo,1.7879999999999967
2016,4,rosberg,0.0
2016,4,sainz,2.3149999999999977
2016,4,vettel,0.7859999999999872
2016,4,wehrlein,4.061999999999998
2016,5,alonso,1.9809999999999943
2016,5,bottas,1.5219999999999914
2016,5,button,2.347999999999999
2016,5,ericsson,3.201999999999998
2016,5,grosjean,2.480000000000004
2016,5,gutierrez,2.406000000000006
2016,5,hamilton,0.0
2016,5,haryanto,3.938999999999993
2016,5,hulkenberg,2.203000000000003
2016,5,jolyon_palmer,2.902999999999992
2016,5,kevin_magnussen,2.625
2016,5,kvyat,2.444999999999993
2016,5,massa,2.9410000000000025
2016,5,max_verstappen,1.0870000000000033
2016,5,nasr,3.579000000000008
2016,5,perez,1.7819999999999965
2016,5,raikkonen,1.1129999999999995
2016,5,ricciardo,0.6800000000000068
2016,5,rosberg,0.2800000000000011
2016,5,sainz,1.643000000000001
